3.14 15.5839 28.397 300.549
3.16 15.6928 28.5957 300.549
3.18 15.8019 28.7941 300.549
3.2 15.8988 28.977 300.549
3.22 16.0085 29.175 300.549
3.24 16.1005 29.3725 300.548
3.26 16.1981 29.5548 300.548
3.28 16.3087 29.7521 300.548
3.3 16.4196 29.9491 300.548
3.32 16.5309 30.1459 300.548
3.34 16.611 30.3271 300.548
3.36 16.7229 30.5235 300.548
3.38 16.8352 30.7196 300.548
3.4 16.9289 30.9153 300.548
3.42 17.0418 31.111 300.548
3.44 17.136 31.3062 300.547
3.46 17.2497 31.5015 300.548
3.48 17.3639 31.6966 300.548
3.5 17.4589 31.8912 300.547
3.52 17.5739 32.0858 300.548
3.54 17.6695 32.28 300.547
3.56 17.7654 32.4739 300.547
3.58 17.8816 32.6679 300.547
3.6 17.9781 32.8614 300.547
3.62 18.0749 33.0548 300.547
3.64 18.1924 33.2482 300.547
3.66 18.3037 33.456 300.547
3.68 18.4016 33.6487 300.547
3.7 18.5206 33.8415 300.547
3.72 18.6192 34.0338 300.547
3.74 18.7323 34.2408 300.547
3.76 18.8316 34.4327 300.547
3.78 18.9314 34.6245 300.547
3.8 19.0458 34.8308 300.547
3.82 19.1463 35.0221 300.547
3.84 19.2472 35.2133 300.547
3.86 19.3848 35.4193 300.547
3.88 19.4867 35.6101 300.547
3.9 19.5817 35.8151 300.547
3.92 19.6844 36.0055 300.547
3.94 19.8023 36.2104 300.547
3.96 19.9059 36.4004 300.547
3.98 20.025 36.6049 300.547
4 20.1447 36.8092 300.547
4.02 20.2498 36.9987 300.547
4.04 20.3478 37.2023 300.547
4.06 20.454 37.3914 300.547
4.08 20.5759 37.5949 300.547
4.1 20.6985 37.7983 300.548
4.12 20.7985 38.0011 300.547
4.14 20.9068 38.1895 300.547
4.16 21.0313 38.3923 300.548
4.18 21.1328 38.5946 300.548
4.2 21.2586 38.797 300.548
4.22 21.3612 38.9988 300.548
4.24 21.4723 39.1864 300.548
4.26 21.576 39.3879 300.548
4.28 21.7045 39.5896 300.548
4.3 21.8093 39.7907 300.548
4.32 21.9147 39.9917 300.548
4.34 22.0453 40.1928 300.548
4.36 22.1519 40.3934 300.548
4.38 22.2591 40.5938 300.548
4.4 22.392 40.7944 300.549
4.42 22.5005 40.9945 300.549
4.44 22.6096 41.1944 300.549
4.46 22.7194 41.3941 300.549
4.48 22.8297 41.5937 300.549
4.5 22.9836 41.8078 300.55
4.52 23.0955 42.007 300.55
4.54 23.2081 42.206 300.55
4.56 23.3213 42.4048 300.55
4.58 23.4353 42.6035 300.55
4.6 23.5675 42.8163 300.55
4.62 23.683 43.0147 300.551
4.64 23.7992 43.2128 300.551
4.66 23.934 43.4251 300.551
4.68 24.025 43.6226 300.551
4.7 24.1434 43.8203 300.551
4.72 24.2807 44.032 300.551
4.74 24.4008 44.2293 300.552
4.76 24.54 44.4407 300.552
4.78 24.6343 44.6374 300.552
4.8 24.7754 44.8484 300.552
4.82 24.8988 45.0451 300.553
4.84 25.014 45.2554 300.553
4.86 25.139 45.4518 300.553
4.88 25.2559 45.6617 300.553
4.9 25.3826 45.8578 300.554
4.92 25.5295 46.0678 300.554
4.94 25.6491 46.2773 300.554
4.96 25.75 46.4724 300.554
4.98 25.8999 46.682 300.555
5 26.0221 46.8909 300.555
5.02 26.1544 47.086 300.555
5.04 26.2785 47.2946 300.556
